ortho	swissProt	name	egn	db	description
ORTHOMCL12956	Q15303	ERBB4_HUMAN	ERBB4	HUMAN	erb-b2 receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3432]
ORTHOMCL13174	Q9HCI7	MSL2_HUMAN	MSL2	HUMAN	MSL complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:25544]
ORTHOMCL13400	Q93063	EXT2_HUMAN	EXT2	HUMAN	exostosin glycosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:3513]
ORTHOMCL13515	A8MXY4	ZNF99_HUMAN	ZNF99	HUMAN	zinc finger protein 99 [Source:HGNC Symbol;Acc:HGNC:13175]
ORTHOMCL13563	Q08431	MFGM_HUMAN	MFGM	HUMAN	milk fat globule-EGF factor 8 protein [Source:HGNC Symbol;Acc:HGNC:7036]
ORTHOMCL13578	Q08J23	NSUN2_HUMAN	NSUN2	HUMAN	NOP2/Sun RNA methyltransferase family member 2 [Source:HGNC Symbol;Acc:HGNC:25994]
ORTHOMCL13733	Q9UIG0	BAZ1B_HUMAN	BAZ1B	HUMAN	bromodomain adjacent to zinc finger domain 1B [Source:HGNC Symbol;Acc:HGNC:961]
ORTHOMCL14534	Q7L5Y6	DET1_HUMAN	DET1	HUMAN	DET1, COP1 ubiquitin ligase partner [Source:HGNC Symbol;Acc:HGNC:25477]
ORTHOMCL14621	P78348	ASIC1_HUMAN	ASIC1	HUMAN	acid sensing ion channel subunit 1 [Source:HGNC Symbol;Acc:HGNC:100]
ORTHOMCL14991	Q9H9Y6	RPA2_HUMAN	RPA2	HUMAN	RNA polymerase I subunit B [Source:HGNC Symbol;Acc:HGNC:20454]
ORTHOMCL15223	O75478	TAD2A_HUMAN	TAD2A	HUMAN	transcriptional adaptor 2A [Source:HGNC Symbol;Acc:HGNC:11531]
ORTHOMCL16083	Q5T200	ZC3HD_HUMAN	ZC3HD	HUMAN	zinc finger CCCH-type containing 13 [Source:HGNC Symbol;Acc:HGNC:20368]
ORTHOMCL16182	Q9Y4D2	DGLA_HUMAN	DGLA	HUMAN	diacylglycerol lipase alpha [Source:HGNC Symbol;Acc:HGNC:1165]
ORTHOMCL16300	Q9NVI1	FANCI_HUMAN	FANCI	HUMAN	Fanconi anemia complementation group I [Source:HGNC Symbol;Acc:HGNC:25568]
ORTHOMCL16334	Q5S007	LRRK2_HUMAN	LRRK2	HUMAN	leucine rich repeat kinase 2 [Source:HGNC Symbol;Acc:HGNC:18618]
ORTHOMCL1755	P52815	RM12_HUMAN	RM12	HUMAN	mitochondrial ribosomal protein L12 [Source:HGNC Symbol;Acc:HGNC:10378]
ORTHOMCL17770	Q9P2H3	IFT80_HUMAN	IFT80	HUMAN	intraflagellar transport 80 [Source:HGNC Symbol;Acc:HGNC:29262]
ORTHOMCL18562	Q8N6Q8	MET25_HUMAN	MET25	HUMAN	methyltransferase like 25 [Source:HGNC Symbol;Acc:HGNC:26228]
ORTHOMCL19875	Q14118	DAG1_HUMAN	DAG1	HUMAN	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]
ORTHOMCL20191	P10586	PTPRF_HUMAN	PTPRF	HUMAN	protein tyrosine phosphatase, receptor type F [Source:HGNC Symbol;Acc:HGNC:9670]
ORTHOMCL20630	Q9HD67	MYO10_HUMAN	MYO10	HUMAN	myosin X [Source:HGNC Symbol;Acc:HGNC:7593]
ORTHOMCL2165	Q6UX65	DRAM2_HUMAN	DRAM2	HUMAN	DNA damage regulated autophagy modulator 2 [Source:HGNC Symbol;Acc:HGNC:28769]
ORTHOMCL22172	O95271	TNKS1_HUMAN	TNKS1	HUMAN	tankyrase [Source:HGNC Symbol;Acc:HGNC:11941]
ORTHOMCL22232	Q8WXW3	PIBF1_HUMAN	PIBF1	HUMAN	progesterone immunomodulatory binding factor 1 [Source:HGNC Symbol;Acc:HGNC:23352]
ORTHOMCL2429	P42765	THIM_HUMAN	THIM	HUMAN	acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]
ORTHOMCL2642	Q9Y6M1	IF2B2_HUMAN	IF2B2	HUMAN	insulin like growth factor 2 mRNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:28867]
ORTHOMCL3616	Q9NZJ6	COQ3_HUMAN	COQ3	HUMAN	coenzyme Q3, methyltransferase [Source:HGNC Symbol;Acc:HGNC:18175]
ORTHOMCL3833	P82933	RT09_HUMAN	RT09	HUMAN	mitochondrial ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:14501]
ORTHOMCL4025	O95084	PRS23_HUMAN	PRS23	HUMAN	serine protease 23 [Source:HGNC Symbol;Acc:HGNC:14370]
ORTHOMCL4642	Q9Y2U9	KLDC2_HUMAN	KLDC2	HUMAN	kelch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20231]
ORTHOMCL5016	Q6URK8	TEPP_HUMAN	TEPP	HUMAN	testis, prostate and placenta expressed [Source:HGNC Symbol;Acc:HGNC:33745]
ORTHOMCL5479	Q8TBZ3	WDR20_HUMAN	WDR20	HUMAN	WD repeat domain 20 [Source:HGNC Symbol;Acc:HGNC:19667]
ORTHOMCL5881	Q8WW01	SEN15_HUMAN	SEN15	HUMAN	tRNA splicing endonuclease subunit 15 [Source:HGNC Symbol;Acc:HGNC:16791]
ORTHOMCL7183	Q9Y278	HS3S2_HUMAN	HS3S2	HUMAN	heparan sulfate-glucosamine 3-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:5195]
ORTHOMCL7434	Q9NVU0	RPC5_HUMAN	RPC5	HUMAN	RNA polymerase III subunit E [Source:HGNC Symbol;Acc:HGNC:30347]
ORTHOMCL7515	Q8NDZ4	DIA1_HUMAN	DIA1	HUMAN	chromosome 3 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:28490]
ORTHOMCL8423	O76095	JTB_HUMAN	JTB	HUMAN	jumping translocation breakpoint [Source:HGNC Symbol;Acc:HGNC:6201]
ORTHOMCL8631	Q9H4G4	GAPR1_HUMAN	GAPR1	HUMAN	GLI pathogenesis related 2 [Source:HGNC Symbol;Acc:HGNC:18007]
ORTHOMCL9045	Q96MS0	ROBO3_HUMAN	ROBO3	HUMAN	roundabout guidance receptor 3 [Source:HGNC Symbol;Acc:HGNC:13433]
ORTHOMCL9113	Q8NCA5	FA98A_HUMAN	FA98A	HUMAN	family with sequence similarity 98 member A [Source:HGNC Symbol;Acc:HGNC:24520]
ORTHOMCL9515	O43347	MSI1H_HUMAN	MSI1H	HUMAN	musashi RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7330]
ORTHOMCL9832	A6NEN9	CX065_HUMAN	CX065	HUMAN	chromosome X open reading frame 65 [Source:HGNC Symbol;Acc:HGNC:33713]
ORTHOMCL11101	B1AK53	ESPN_HUMAN	ESPN	HUMAN	espin [Source:HGNC Symbol;Acc:HGNC:13281]
ORTHOMCL11879	Q9UQB8	BAIP2_HUMAN	BAIP2	HUMAN	BAI1 associated protein 2 [Source:HGNC Symbol;Acc:HGNC:947]
ORTHOMCL13628	Q15399	TLR1_HUMAN	TLR1	HUMAN	toll like receptor 1 [Source:HGNC Symbol;Acc:HGNC:11847]
ORTHOMCL13788	Q3YBR2	TBRG1_HUMAN	TBRG1	HUMAN	transforming growth factor beta regulator 1 [Source:HGNC Symbol;Acc:HGNC:29551]
ORTHOMCL15922	O60494	CUBN_HUMAN	CUBN	HUMAN	cubilin [Source:HGNC Symbol;Acc:HGNC:2548]
